209731209|RWS|538569|6|72100000
209796180|Siegfried|229000|4|36000000
209812591|joel|235700|5|37986000
209829293|GH0§T|460000|6|50900000
209878301|Satinsaber|250000|5|37000000
209894842|Calypso|272600|6|37295439
209911019|RenTheBoss|245000|5|35800000
209927780|MuffinMan|394000|6|58210000
210091339|Efknit|379130|6|53170000
210124609|BananaheadPrime|339100|6|41155718
210271712|yepghany|388800|6|46400000
210271966|Kakashi|306000|5|44911401
210304500|HunTerFreaK|230000|4|33500000
210370280|aadarsh god|333600|4|42700000
210386252|Liv|313400|6|42155000
210419464|kerker|270300|5|37186829
210435468|DarkFury|213000|6|33215000
210468094|LordyMcLordFace|287000|6|33500000
210468511|astutotigre396|413382|4|48324271
210501088|Ketrod|276000|5|40000000
210566708|Shridhar|271500|5|38397778
210599003|Coolets|349100|5|43700000
210648634|purpdaderp13|221200|6|40735864
210664511|LotusEater|314200|6|44672118
210664929|Lizzie|248700|5|36264164
210713813|Pooch McDog|454000|6|66000000
210845284|FailedForward|348000|6|46000000
210926991|queenclaw|359000|6|46000000
210943706|Lord William B|366000|6|60000000
211189295|Charly_TQ|278600|6|46918862
211320277|Big Cat|401000|6|49150000
211353390|coolghost|276500|4|34800000
211369396|Viggo Leif|597000|6|77000000
211402206|stevedods187|360400|6|60340000
211402545|Wild Dog|380400|4|46737000
211467402|iceman shah|392400|6|55476090
211484455|Kexxs|395000|6|44000000
211500263|Ironsoul|292500|4|34000000
211549979|Hardy Cox|437921|4|36545812
211631473|Dennis Reynolds|434000|6|61627543
211713743|orage|384900|5|36700000
211926746|高雄誌宏|289800|4|40000000
211992333|Ricky|468700|6|56624843
212008429|IvH3AD5H0TvI|313000|6|35000000
212139465|Milliemae123|298000|6|49700000
212254395|korus|830000|6|140000000
212352520|Yoyomann|520000|6|74243895
212417687|LMDFALLING|278000|6|42000000
212811179|CrispyChip|223000|5|33000000
212876528|Shanks|390000|4|41562600
213007599|Rhivlad|300037|5|41358841
213187952|Freazy|435000|6|63400000
213221049|DJJerryJay|626000|6|72694000
213237471|RAJA|316000|5|44200000
213270250|BLOTzSOFAKINGDOM|137400|6|34600000
213286186|Alhail1608mani|375000|6|57000000
213302384|Trebz|329200|5|39500000
213433522|WinnerWinner|360000|6|47000000
213532513|Lord of the Dung|100000|5|27500000
213597838|DreamoFilipino|475000|5|52800000
213614439|HeroineKate|325200|6|43081000
213630389|febreze86usa1|193400|4|30244194
213646752|otopupulo|374300|6|49387970
213777938|Luty|329700|4|42300000
213859392|Moonsong|785000|6|146800000
213876083|Darntootin|357500|5|45958325
213892446|Brook|254900|5|36603350
214179411|Jacob|356400|6|51243395
219377584|West|303000|6|43571680
227159579|Macdaddydil|505510|4|29708449
